,statistic_yyy,site_id,people_total,area,population_density
0,統計年,區域別,年底人口數,土地面積,人口密度
200,109,苗栗縣獅潭鄉,4158,79.4324,52
201,109,苗栗縣泰安鄉,5782,614.5127,9
202,109,彰化縣彰化市,231317,65.6947,3521
203,109,彰化縣員林市,124263,40.038,3104
204,109,彰化縣鹿港鎮,86550,39.4625,2193
205,109,彰化縣和美鎮,90095,39.9345,2256
206,109,彰化縣北斗鎮,33358,19.2547,1732
207,109,彰化縣溪湖鎮,54814,32.0592,1710
208,109,彰化縣田中鎮,40717,34.6056,1177
209,109,彰化縣二林鎮,49687,92.8478,535
210,109,彰化縣線西鄉,16665,18.0856,921
211,109,彰化縣伸港鄉,37740,22.3268,1690
212,109,彰化縣福興鄉,46399,49.8934,930
213,109,彰化縣秀水鄉,38872,29.3447,1325
214,109,彰化縣花壇鄉,45232,36.3469,1244
215,109,彰化縣芬園鄉,23188,38.0204,610
216,109,彰化縣大村鄉,38457,30.7837,1249
217,109,彰化縣埔鹽鄉,31919,38.6081,827
218,109,彰化縣埔心鄉,34451,20.9526,1644
219,109,彰化縣永靖鄉,36300,20.6382,1759
220,109,彰化縣社頭鄉,42436,36.1449,1174
221,109,彰化縣二水鄉,14642,29.4449,497
222,109,彰化縣田尾鄉,26691,24.0375,1110
223,109,彰化縣埤頭鄉,30072,42.7508,703
224,109,彰化縣芳苑鄉,32720,91.3827,358
225,109,彰化縣大城鄉,16119,63.7406,253
226,109,彰化縣竹塘鄉,14808,42.1662,351
227,109,彰化縣溪州鄉,29158,75.831,385
228,109,南投縣南投市,99081,71.6021,1384
229,109,南投縣埔里鎮,79191,162.2227,488
230,109,南投縣草屯鎮,97489,104.0327,937
231,109,南投縣竹山鎮,53464,247.3339,216
232,109,南投縣集集鎮,10461,49.7268,210
233,109,南投縣名間鄉,37507,83.0955,451
234,109,南投縣鹿谷鄉,17231,141.8981,121
235,109,南投縣中寮鄉,14301,146.6541,98
236,109,南投縣魚池鄉,15466,121.3735,127
237,109,南投縣國姓鄉,17965,175.7042,102
238,109,南投縣水里鄉,16980,106.8424,159
239,109,南投縣信義鄉,15878,1422.4188,11
240,109,南投縣仁愛鄉,15818,1273.5312,12
241,109,雲林縣斗六市,108677,93.7151,1160
242,109,雲林縣斗南鎮,44154,48.1505,917
243,109,雲林縣虎尾鎮,70899,68.742,1031
244,109,雲林縣西螺鎮,45463,49.7985,913
245,109,雲林縣土庫鎮,28305,49.0212,577
246,109,雲林縣北港鎮,39089,41.4999,942
247,109,雲林縣古坑鄉,30868,166.6059,185
248,109,雲林縣大埤鄉,18604,44.9973,413
249,109,雲林縣莿桐鄉,28311,50.8502,557
250,109,雲林縣林內鄉,17434,37.6035,464
251,109,雲林縣二崙鄉,26029,59.5625,437
252,109,雲林縣崙背鄉,23784,58.484,407
253,109,雲林縣麥寮鄉,47951,80.1668,598
254,109,雲林縣東勢鄉,14155,48.3562,293
255,109,雲林縣褒忠鄉,12477,37.0552,337
256,109,雲林縣臺西鄉,23012,54.0983,425
257,109,雲林縣元長鄉,24694,71.5872,345
258,109,雲林縣四湖鄉,22387,77.1189,290
259,109,雲林縣口湖鄉,26403,80.4612,328
260,109,雲林縣水林鄉,24177,72.9582,331
261,109,嘉義縣太保市,38536,66.8964,576
262,109,嘉義縣朴子市,41669,49.5737,841
263,109,嘉義縣布袋鎮,25990,61.7307,421
264,109,嘉義縣大林鎮,30381,64.1663,473
265,109,嘉義縣民雄鄉,71317,85.4969,834
266,109,嘉義縣溪口鄉,14055,33.0463,425
267,109,嘉義縣新港鄉,31162,66.0495,472
268,109,嘉義縣六腳鄉,22196,62.2619,356
269,109,嘉義縣東石鄉,23766,81.5821,291
270,109,嘉義縣義竹鄉,17602,79.2925,222
271,109,嘉義縣鹿草鄉,14913,54.3151,275
272,109,嘉義縣水上鄉,49012,69.1198,709
273,109,嘉義縣中埔鄉,44131,129.5016,341
274,109,嘉義縣竹崎鄉,34797,162.2256,214
275,109,嘉義縣梅山鄉,18687,119.7571,156
276,109,嘉義縣番路鄉,11180,117.5269,95
277,109,嘉義縣大埔鄉,4560,173.2472,26
278,109,嘉義縣阿里山鄉,5527,427.8471,13
279,109,屏東縣屏東市,197647,65.067,3038
280,109,屏東縣潮州鎮,53842,42.4331,1269
281,109,屏東縣東港鎮,46731,29.4635,1586
282,109,屏東縣恆春鎮,30414,136.763,222
283,109,屏東縣萬丹鄉,50126,57.4679,872
284,109,屏東縣長治鄉,29470,39.8861,739
285,109,屏東縣麟洛鄉,10770,16.26,662
286,109,屏東縣九如鄉,21962,42.0187,523
287,109,屏東縣里港鄉,25707,68.9208,373
288,109,屏東縣鹽埔鄉,24999,64.3493,388
289,109,屏東縣高樹鄉,23775,90.1522,264
290,109,屏東縣萬巒鄉,20189,60.7315,332
291,109,屏東縣內埔鄉,53330,81.8554,652
292,109,屏東縣竹田鄉,16615,29.0732,571
293,109,屏東縣新埤鄉,9561,59.0102,162
294,109,屏東縣枋寮鄉,23680,57.7347,410
295,109,屏東縣新園鄉,33939,38.3109,886
296,109,屏東縣崁頂鄉,15378,31.2659,492
297,109,屏東縣林邊鄉,17275,15.6233,1106
298,109,屏東縣南州鄉,10364,18.97,546
299,109,屏東縣佳冬鄉,18620,30.9842,601
300,109,屏東縣琉球鄉,12121,6.8018,1782
301,109,屏東縣車城鄉,8278,49.8517,166
302,109,屏東縣滿州鄉,7471,142.2013,53
303,109,屏東縣枋山鄉,5240,17.2697,303
304,109,屏東縣三地門鄉,7689,196.3965,39
305,109,屏東縣霧臺鄉,3247,278.796,12
306,109,屏東縣瑪家鄉,6768,78.7008,86
307,109,屏東縣泰武鄉,5351,118.6266,45
308,109,屏東縣來義鄉,7448,167.7756,44
309,109,屏東縣春日鄉,4947,160.001,31
310,109,屏東縣獅子鄉,4839,301.0018,16
311,109,屏東縣牡丹鄉,4865,181.8366,27
312,109,臺東縣臺東市,104803,109.7691,955
313,109,臺東縣成功鎮,13505,143.9939,94
314,109,臺東縣關山鎮,8420,58.7351,143
315,109,臺東縣卑南鄉,16961,412.6871,41
316,109,臺東縣大武鄉,5727,69.1454,83
317,109,臺東縣太麻里鄉,10925,96.6523,113
318,109,臺東縣東河鄉,8203,210.1908,39
319,109,臺東縣長濱鄉,6926,155.1868,45
320,109,臺東縣鹿野鄉,7601,89.698,85
321,109,臺東縣池上鄉,8073,82.6854,98
322,109,臺東縣綠島鄉,4026,15.0919,267
323,109,臺東縣延平鄉,3549,455.8805,8
324,109,臺東縣海端鄉,4105,880.0382,5
325,109,臺東縣達仁鄉,3489,306.4454,11
326,109,臺東縣金峰鄉,3699,380.6635,10
327,109,臺東縣蘭嶼鄉,5249,48.3892,108
328,109,花蓮縣花蓮市,102539,29.4095,3487
329,109,花蓮縣鳳林鎮,10821,120.5181,90
330,109,花蓮縣玉里鎮,23381,252.3719,93
331,109,花蓮縣新城鄉,20058,29.4095,682
332,109,花蓮縣吉安鄉,83507,65.2582,1280
333,109,花蓮縣壽豐鄉,17589,218.4448,81
334,109,花蓮縣光復鄉,12369,157.11,79
335,109,花蓮縣豐濱鄉,4376,162.4332,27
336,109,花蓮縣瑞穗鄉,11312,135.5862,83
337,109,花蓮縣富里鄉,10004,176.3705,57
338,109,花蓮縣秀林鄉,16143,1641.8555,10
339,109,花蓮縣萬榮鄉,6237,618.491,10
340,109,花蓮縣卓溪鄉,6036,1021.313,6
341,109,澎湖縣馬公市,63206,33.9918,1859
342,109,澎湖縣湖西鄉,15230,33.3008,457
343,109,澎湖縣白沙鄉,9907,20.0875,493
344,109,澎湖縣西嶼鄉,8353,18.7148,446
345,109,澎湖縣望安鄉,5371,13.7824,390
346,109,澎湖縣七美鄉,3885,6.9868,556
347,109,基隆市中正區,51224,10.2118,5016
348,109,基隆市七堵區,53615,56.2659,953
349,109,基隆市暖暖區,38548,22.8283,1689
350,109,基隆市仁愛區,42787,4.2335,10107
351,109,基隆市中山區,46459,10.5238,4415
352,109,基隆市安樂區,81776,18.025,4537
353,109,基隆市信義區,53168,10.6706,4983
354,109,新竹市東區,220056,33.5768,6554
355,109,新竹市北區,152612,15.7267,9704
356,109,新竹市香山區,78744,54.8491,1436
357,109,嘉義市東區,119715,30.1556,3970
358,109,嘉義市西區,146290,29.87,4898
359,109,金門縣金城鎮,43000,21.713,1980
360,109,金門縣金湖鎮,30400,41.696,729
361,109,金門縣金沙鎮,20732,41.19,503
362,109,金門縣金寧鄉,33070,29.854,1108
363,109,金門縣烈嶼鄉,12733,16.003,796
364,109,金門縣烏坵鄉,662,1.2,552
365,109,連江縣南竿鄉,7638,10.4,734
366,109,連江縣北竿鄉,2717,9.9,274
367,109,連江縣莒光鄉,1489,4.7,317
368,109,連江縣東引鄉,1435,3.8,378
369,109,東沙群島,…,2.38,…
370,109,南沙群島,…,0.5045,…
371,,,,,
372,,說明：1.人口密度係指每單位土地面積內之人口數。,,,
373,,2.96年12月起，我國土地面積增列東沙群島(2.38平方公里)及南沙群島(0.4896平方公里),,,
374,,，由高雄市代管；原金門縣烏坵鄉面積，因重測由2.6平方公里修正為1.2平方公里。,,,
